bias,slant,source,,credible,omits opinion,preview image
low,center,https://www.reuters.com/world/europe/russian-offensive-eastern-ukraine-focused-bakhmut-2023-02-28,,TRUE,FALSE,https://cdn.midjourney.com/02f46fa1-ae0b-4360-af78-0cb81ee0dd6b/grid_0.png
medium,right,https://www.foxnews.com/politics/hawley-slams-biden-nominee-stonewalling-past-tweets-unbelievable,,TRUE,FALSE,https://cdn.midjourney.com/e5179855-4631-407c-b8ee-e180ee9ccfa5/grid_0.png
high,left,https://www.thedailybeast.com/refusing-to-forgive-institutional-racism-is-not-cancel-culture,,TRUE,FALSE,https://cdn.midjourney.com/9e250cc8-1eb8-40c8-ac2e-11507b800086/grid_0.png
medium,left,https://www.theguardian.com/us-news/2023/feb/28/fbi-director-endorses-china-lab-leak-covid-theory,,TRUE,TRUE,https://cdn.midjourney.com/e4af5a9c-ec9e-4bfa-b898-6043260f2dff/grid_0.png
low,center,https://www.reuters.com/world/us/gunman-racist-buffalo-shooting-faces-life-without-parole-sentencing-2023-02-15/,,TRUE,FALSE,https://cdn.midjourney.com/d633f37c-1df9-4358-ac03-c018132643af/grid_0.png
medium,left,https://www.thedailybeast.com/climate-disaster-trauma-is-rewiring-our-brains-into-something-alarmingly-worse,,TRUE,TRUE,https://cdn.midjourney.com/e5d3f39b-02a3-480d-b4f1-74e85e3a260f/grid_0.png
high,right,https://thefederalist.com/2023/02/03/leftist-logic-adoption-is-more-traumatic-than-abortion-but-surrogacy-is-just-great/,,FALSE,FALSE,https://cdn.midjourney.com/51159e9e-cf04-4cac-9236-7e98945cd37a/grid_0.png
high,left,https://www.thedailybeast.com/republicans-really-want-you-to-keep-paying-junk-fees?ref=wrap,,TRUE,TRUE,https://cdn.midjourney.com/8bc385dd-a653-44aa-810c-5422199f6afd/grid_0.png
high,left,https://www.alternet.org/former-reagan-speechwriter-rips-greg-abbott-for-his-cruel-and-heartless-immigration-stunts/,,TRUE,TRUE,https://cdn.midjourney.com/4f280988-a24a-48bb-ac4f-1eea996866b6/grid_0.png
low,,https://www.theguardian.com/world/2023/feb/28/iran-schoolgirls-hospital-poisoning-pardis-qom,,TRUE,FALSE,https://cdn.midjourney.com/63296a21-7b25-430c-9a53-55027c017027/grid_0.png
high,right,https://www.theblaze.com/news/biden-white-boy-not-stupid,,TRUE,FALSE,https://cdn.midjourney.com/4e522051-5ea5-48a1-9f0f-be9915d02a7d/grid_0.png
high,right,https://www.breitbart.com/europe/2023/02/28/irish-government-abandons-plan-to-teach-children-gender-is-a-spectrum/,,TRUE,FALSE,https://cdn.midjourney.com/f4f8deca-20b8-4ff4-9258-3c1cceb1e752/grid_0.png